#
# The Tor Project
#
# URL: https://metrics.torproject.org/webstats-tb-locale.csv?start=2021-12-27&end=2022-05-28
#
date,locale,initial_downloads,update_pings
2022-02-14,sv-SE,74,345
2022-02-14,zh-TW,2500,29085
2022-02-14,ca,79,348
2022-02-14,ga-IE,52,11
2022-02-14,id,75,56
2022-02-14,is,55,23
2022-02-14,nb-NO,59,71
2022-02-14,cs,73,632
2022-02-14,el,70,153
2022-02-14,hu,196,460
2022-02-14,ka,57,5
2022-02-14,es-AR,183,510
2022-02-14,ro,69,70
2022-02-14,mk,51,3
2022-02-14,lt,59,22
2022-02-14,ms,57,5
2022-02-15,ar,128,703
2022-02-15,de,3313,83972
2022-02-15,en-US,54073,765417
2022-02-15,es-ES,2690,23697
2022-02-15,fa,93,140
2022-02-15,fr,1614,22702
2022-02-15,it,710,10321
2022-02-15,ko,163,836
2022-02-15,nl,131,916
2022-02-15,pl,224,2486
2022-02-15,ru,3021,143651
2022-02-15,tr,264,3282
2022-02-15,vi,90,54
2022-02-15,zh-CN,1709,4770
2022-02-15,??,49,816
2022-02-15,ja,190,3727
2022-02-15,my,96,0
2022-02-15,pt-BR,1056,5545
2022-02-15,th,89,10
2022-02-15,da,98,154
2022-02-15,he,88,45
2022-02-15,sv-SE,102,296
2022-02-15,zh-TW,2042,28969
2022-02-15,ca,124,404
2022-02-15,ga-IE,82,1
2022-02-15,id,90,66
2022-02-15,is,92,32
2022-02-15,nb-NO,87,87
2022-02-15,cs,120,562
2022-02-15,el,100,121
2022-02-15,hu,204,503
2022-02-15,ka,99,10
2022-02-15,es-AR,205,521
2022-02-15,ro,89,57
2022-02-15,mk,93,6
2022-02-15,lt,84,18
2022-02-15,ms,82,1
2022-02-15,en-ES,0,1
2022-02-16,ar,208,813
2022-02-16,de,3607,85290
2022-02-16,en-US,54968,796970
2022-02-16,es-ES,2572,22220
2022-02-16,fa,163,154
2022-02-16,fr,1598,22455
2022-02-16,it,730,10172
2022-02-16,ko,269,871
2022-02-16,nl,218,889
2022-02-16,pl,312,2477
2022-02-16,ru,3267,136708
2022-02-16,tr,350,3235
2022-02-16,vi,186,51
2022-02-16,zh-CN,1593,4968
2022-02-16,??,44,2523
2022-02-16,ja,276,3735
2022-02-16,my,162,0
2022-02-16,pt-BR,1150,5667
2022-02-16,th,180,7
2022-02-16,da,218,168
2022-02-16,he,188,48
2022-02-16,sv-SE,176,292
2022-02-16,zh-TW,2286,29218
2022-02-16,ca,242,382
2022-02-16,ga-IE,193,4
2022-02-16,id,176,60
2022-02-16,is,193,27
2022-02-16,nb-NO,171,81
2022-02-16,cs,196,579
2022-02-16,el,206,150
2022-02-16,hu,256,500
2022-02-16,ka,195,11
2022-02-16,es-AR,288,523
2022-02-16,ro,165,60
2022-02-16,mk,184,1
2022-02-16,lt,200,18
2022-02-16,ms,162,2
2022-02-17,ar,90,733
2022-02-17,de,3204,84433
2022-02-17,en-US,53301,761981
2022-02-17,es-ES,2251,22220
2022-02-17,fa,52,173
2022-02-17,fr,1226,21830
2022-02-17,it,628,10012
2022-02-17,ko,108,864
2022-02-17,nl,80,883
2022-02-17,pl,176,2460
2022-02-17,ru,3283,136096
2022-02-17,tr,236,3332
2022-02-17,vi,55,57
2022-02-17,zh-CN,1288,4952
2022-02-17,??,16,786
2022-02-17,ja,110,3683
2022-02-17,my,41,0
2022-02-17,pt-BR,1122,5867
2022-02-17,th,70,9
2022-02-17,da,52,168
2022-02-17,he,55,50
2022-02-17,sv-SE,73,330
2022-02-17,zh-TW,1826,28941
2022-02-17,ca,91,405
2022-02-17,ga-IE,41,7
2022-02-17,id,50,60
2022-02-17,is,54,29
2022-02-17,nb-NO,50,61
2022-02-17,cs,71,559
2022-02-17,el,61,131
2022-02-17,hu,98,503
2022-02-17,ka,53,7
2022-02-17,es-AR,135,502
2022-02-17,ro,63,47
2022-02-17,mk,41,2
2022-02-17,lt,44,15
2022-02-17,ms,46,3
2022-02-18,ar,116,761
2022-02-18,de,3437,83908
2022-02-18,en-US,54331,794542
2022-02-18,es-ES,2248,21489
2022-02-18,fa,81,148
2022-02-18,fr,1364,21762
2022-02-18,it,561,10010
2022-02-18,ko,135,867
2022-02-18,nl,84,938
2022-02-18,pl,166,2473
2022-02-18,ru,3485,137052
2022-02-18,tr,206,3240
2022-02-18,vi,65,54
2022-02-18,zh-CN,1385,4933
2022-02-18,??,45,760
2022-02-18,ja,157,3994
2022-02-18,my,56,4
2022-02-18,pt-BR,1078,5783
2022-02-18,th,71,8
2022-02-18,da,78,135
2022-02-18,he,62,38
2022-02-18,sv-SE,70,290
2022-02-18,zh-TW,1723,28736
2022-02-18,ca,85,347
2022-02-18,ga-IE,63,2
2022-02-18,id,69,78
2022-02-18,is,72,22
2022-02-18,nb-NO,75,87
2022-02-18,cs,97,519
2022-02-18,el,83,161
2022-02-18,hu,118,487
2022-02-18,ka,68,6
2022-02-18,es-AR,157,443
2022-02-18,ro,77,58
2022-02-18,mk,59,3
2022-02-18,lt,63,12
2022-02-18,ms,56,6
2022-02-19,ar,117,683
2022-02-19,de,3453,81532
2022-02-19,en-US,54673,761960
2022-02-19,es-ES,2265,21282
2022-02-19,fa,106,184
2022-02-19,fr,1514,21464
2022-02-19,it,657,9578
2022-02-19,ko,144,915
2022-02-19,nl,130,906
2022-02-19,pl,217,2243
2022-02-19,ru,3623,135677
2022-02-19,tr,249,3402
2022-02-19,vi,85,55
2022-02-19,zh-CN,2311,5000
2022-02-19,??,57,589
2022-02-19,ja,180,4205
2022-02-19,my,91,3
2022-02-19,pt-BR,1037,5305
2022-02-19,th,75,8
2022-02-19,da,114,151
2022-02-19,he,90,37
2022-02-19,sv-SE,107,273
2022-02-19,zh-TW,1776,28933
2022-02-19,ca,119,345
2022-02-19,ga-IE,89,2
2022-02-19,id,93,98
2022-02-19,is,79,25
2022-02-19,nb-NO,105,79
2022-02-19,cs,116,501
2022-02-19,el,108,131
2022-02-19,hu,138,456
2022-02-19,ka,102,3
2022-02-19,es-AR,201,494
2022-02-19,ro,93,63
2022-02-19,mk,95,3
2022-02-19,lt,100,16
2022-02-19,ms,95,6
2022-02-20,ar,77,652
2022-02-20,de,3625,86457
2022-02-20,en-US,53796,748350
2022-02-20,es-ES,2505,21271
2022-02-20,fa,44,188
2022-02-20,fr,1620,22437
2022-02-20,it,538,9619
2022-02-20,ko,100,852
2022-02-20,nl,81,922
2022-02-20,pl,208,2588
2022-02-20,ru,3241,135839
2022-02-20,tr,237,3288
2022-02-20,vi,50,39
2022-02-20,zh-CN,1507,4693
2022-02-20,??,42,923
2022-02-20,ja,130,3923
2022-02-20,my,43,0
2022-02-20,pt-BR,972,5181
2022-02-20,th,42,9
2022-02-20,da,58,140
2022-02-20,he,42,55
2022-02-20,sv-SE,77,298
2022-02-20,zh-TW,1407,28650
2022-02-20,ca,93,381
2022-02-20,ga-IE,44,0
2022-02-20,id,50,54
2022-02-20,is,51,26
2022-02-20,nb-NO,45,79
2022-02-20,cs,72,572
2022-02-20,el,69,154
2022-02-20,hu,113,495
2022-02-20,ka,60,8
2022-02-20,es-AR,163,511
2022-02-20,ro,45,49
2022-02-20,mk,44,5
2022-02-20,lt,48,23
2022-02-20,ms,44,3
2022-02-21,ar,95,687
2022-02-21,de,3345,85714
2022-02-21,en-US,54307,739360
2022-02-21,es-ES,2633,21961
2022-02-21,fa,75,193
2022-02-21,fr,1640,22593
2022-02-21,it,587,10260
2022-02-21,ko,127,883
2022-02-21,nl,102,901
2022-02-21,pl,204,2497
2022-02-21,ru,3179,134710
2022-02-21,tr,186,3141
2022-02-21,vi,69,44
2022-02-21,zh-CN,1531,4809
2022-02-21,??,12,691
2022-02-21,ja,154,3729
2022-02-21,my,58,0
2022-02-21,pt-BR,1082,5913
2022-02-21,th,69,8
2022-02-21,da,80,158
2022-02-21,he,64,62
2022-02-21,sv-SE,99,290
2022-02-21,zh-TW,1638,28303
2022-02-21,ca,105,424
2022-02-21,ga-IE,65,2
2022-02-21,id,69,72
2022-02-21,is,74,26
2022-02-21,nb-NO,74,76
2022-02-21,cs,81,620
2022-02-21,el,88,118
2022-02-21,hu,115,493
2022-02-21,ka,80,7
2022-02-21,es-AR,189,556
2022-02-21,ro,84,59
2022-02-21,mk,66,4
2022-02-21,lt,64,10
